Score report for run G

W    1 Answer key says      YES; system says  UNKNOWN
W  578 Answer key says  UNKNOWN; system says      YES
R  579 Answer key says  UNKNOWN; system says  UNKNOWN
R  580 Answer key says  UNKNOWN; system says  UNKNOWN
R  581 Answer key says  UNKNOWN; system says  UNKNOWN
W  582 Answer key says      YES; system says  UNKNOWN
W  583 Answer key says      YES; system says  UNKNOWN
R  584 Answer key says  UNKNOWN; system says  UNKNOWN
R  585 Answer key says  UNKNOWN; system says  UNKNOWN
W  586 Answer key says  UNKNOWN; system says       NO
R  587 Answer key says      YES; system says      YES
R  588 Answer key says      YES; system says      YES
W  589 Answer key says  UNKNOWN; system says       NO
W  590 Answer key says  UNKNOWN; system says      YES
R  591 Answer key says      YES; system says      YES
R  592 Answer key says  UNKNOWN; system says  UNKNOWN
R  593 Answer key says  UNKNOWN; system says  UNKNOWN
W  594 Answer key says      YES; system says  UNKNOWN
W  595 Answer key says      YES; system says       NO
W  596 Answer key says      YES; system says  UNKNOWN
R  597 Answer key says  UNKNOWN; system says  UNKNOWN
W  598 Answer key says      YES; system says  UNKNOWN
W  599 Answer key says       NO; system says  UNKNOWN
R  600 Answer key says      YES; system says      YES
W  601 Answer key says  UNKNOWN; system says      YES
R  602 Answer key says  UNKNOWN; system says  UNKNOWN
R  603 Answer key says      YES; system says      YES
W  604 Answer key says      YES; system says  UNKNOWN
R  605 Answer key says      YES; system says      YES
W  606 Answer key says      YES; system says  UNKNOWN
W  607 Answer key says      YES; system says  UNKNOWN
W  608 Answer key says      YES; system says  UNKNOWN
W  609 Answer key says       NO; system says      YES
R  610 Answer key says  UNKNOWN; system says  UNKNOWN
W  611 Answer key says  UNKNOWN; system says      YES
W  612 Answer key says      YES; system says  UNKNOWN
R  613 Answer key says  UNKNOWN; system says  UNKNOWN
W  614 Answer key says      YES; system says  UNKNOWN
W  615 Answer key says      YES; system says  UNKNOWN
W  616 Answer key says      YES; system says  UNKNOWN
R  617 Answer key says      YES; system says      YES
R  618 Answer key says      YES; system says      YES
W  619 Answer key says  UNKNOWN; system says      YES
R  620 Answer key says      YES; system says      YES
R  621 Answer key says  UNKNOWN; system says  UNKNOWN
R  622 Answer key says      YES; system says      YES
W  623 Answer key says      YES; system says  UNKNOWN
W  624 Answer key says      YES; system says  UNKNOWN
R  625 Answer key says      YES; system says      YES
W  626 Answer key says      YES; system says       NO
W  627 Answer key says      YES; system says       NO
W  628 Answer key says  UNKNOWN; system says      YES
R  629 Answer key says      YES; system says      YES
W  630 Answer key says       NO; system says  UNKNOWN
W  631 Answer key says      YES; system says  UNKNOWN
W  632 Answer key says      YES; system says  UNKNOWN
W  633 Answer key says       NO; system says      YES
R  634 Answer key says  UNKNOWN; system says  UNKNOWN
R  635 Answer key says      YES; system says      YES
R  636 Answer key says  UNKNOWN; system says  UNKNOWN
R  637 Answer key says      YES; system says      YES
W  638 Answer key says       NO; system says  UNKNOWN
W  639 Answer key says      YES; system says  UNKNOWN
W  640 Answer key says      YES; system says  UNKNOWN
W  641 Answer key says  UNKNOWN; system says      YES
R  642 Answer key says      YES; system says      YES
W  643 Answer key says      YES; system says  UNKNOWN
W  644 Answer key says  UNKNOWN; system says      YES
R  645 Answer key says  UNKNOWN; system says  UNKNOWN
R  646 Answer key says      YES; system says      YES
R  647 Answer key says  UNKNOWN; system says  UNKNOWN
R  648 Answer key says      YES; system says      YES
W  649 Answer key says       NO; system says      YES
W  650 Answer key says      YES; system says  UNKNOWN
W  651 Answer key says      YES; system says  UNKNOWN
W  652 Answer key says       NO; system says  UNKNOWN
R  653 Answer key says  UNKNOWN; system says  UNKNOWN
W  654 Answer key says       NO; system says  UNKNOWN
W  655 Answer key says  UNKNOWN; system says      YES
R  656 Answer key says  UNKNOWN; system says  UNKNOWN
W  657 Answer key says      YES; system says  UNKNOWN
W  658 Answer key says      YES; system says  UNKNOWN
W  659 Answer key says      YES; system says  UNKNOWN
R  660 Answer key says      YES; system says      YES
W  661 Answer key says       NO; system says  UNKNOWN
W  662 Answer key says      YES; system says  UNKNOWN
R  663 Answer key says      YES; system says      YES
W  664 Answer key says  UNKNOWN; system says      YES
W  665 Answer key says  UNKNOWN; system says      YES
W  666 Answer key says  UNKNOWN; system says      YES
R  667 Answer key says      YES; system says      YES
W  668 Answer key says      YES; system says  UNKNOWN
R  669 Answer key says  UNKNOWN; system says  UNKNOWN
R  670 Answer key says  UNKNOWN; system says  UNKNOWN
W  671 Answer key says      YES; system says       NO
R  672 Answer key says  UNKNOWN; system says  UNKNOWN
W  673 Answer key says  UNKNOWN; system says       NO
R  674 Answer key says      YES; system says      YES
W  675 Answer key says      YES; system says  UNKNOWN
R  676 Answer key says      YES; system says      YES
W  677 Answer key says      YES; system says  UNKNOWN
R  678 Answer key says  UNKNOWN; system says  UNKNOWN
W  679 Answer key says      YES; system says  UNKNOWN
R  680 Answer key says  UNKNOWN; system says  UNKNOWN
R  681 Answer key says      YES; system says      YES
W  682 Answer key says       NO; system says      YES
R  683 Answer key says      YES; system says      YES
W  684 Answer key says      YES; system says       NO
R  685 Answer key says  UNKNOWN; system says  UNKNOWN
W  686 Answer key says       NO; system says      YES
W  687 Answer key says      YES; system says  UNKNOWN
R  688 Answer key says      YES; system says      YES
R  689 Answer key says      YES; system says      YES
R  690 Answer key says      YES; system says      YES
W  691 Answer key says       NO; system says      YES
W  692 Answer key says  UNKNOWN; system says       NO
W  693 Answer key says      YES; system says  UNKNOWN
R  694 Answer key says      YES; system says      YES
W  695 Answer key says      YES; system says  UNKNOWN
R  696 Answer key says  UNKNOWN; system says  UNKNOWN
R  697 Answer key says      YES; system says      YES
W  698 Answer key says       NO; system says  UNKNOWN
W  699 Answer key says      YES; system says  UNKNOWN
W  700 Answer key says  UNKNOWN; system says      YES
W  701 Answer key says  UNKNOWN; system says      YES
W  702 Answer key says      YES; system says  UNKNOWN
W  703 Answer key says  UNKNOWN; system says      YES
W  704 Answer key says  UNKNOWN; system says      YES
W  705 Answer key says      YES; system says  UNKNOWN
W  706 Answer key says      YES; system says  UNKNOWN
R  707 Answer key says  UNKNOWN; system says  UNKNOWN
W  708 Answer key says      YES; system says  UNKNOWN
W  709 Answer key says  UNKNOWN; system says      YES
R  710 Answer key says  UNKNOWN; system says  UNKNOWN
R  711 Answer key says  UNKNOWN; system says  UNKNOWN
W  712 Answer key says      YES; system says  UNKNOWN
R  713 Answer key says      YES; system says      YES
R  714 Answer key says       NO; system says       NO
R  715 Answer key says  UNKNOWN; system says  UNKNOWN
W  716 Answer key says      YES; system says       NO
W  717 Answer key says      YES; system says  UNKNOWN
W  718 Answer key says      YES; system says  UNKNOWN
W  719 Answer key says      YES; system says  UNKNOWN
W  720 Answer key says      YES; system says  UNKNOWN
W  721 Answer key says      YES; system says       NO
W  722 Answer key says      YES; system says       NO
W  723 Answer key says      YES; system says  UNKNOWN
R  724 Answer key says      YES; system says      YES
W  725 Answer key says      YES; system says       NO
W  726 Answer key says       NO; system says      YES
R  727 Answer key says  UNKNOWN; system says  UNKNOWN
W  728 Answer key says      YES; system says  UNKNOWN
W  729 Answer key says       NO; system says  UNKNOWN
W  730 Answer key says      YES; system says  UNKNOWN
W  731 Answer key says      YES; system says  UNKNOWN
W  732 Answer key says      YES; system says  UNKNOWN
W  733 Answer key says      YES; system says  UNKNOWN
W  734 Answer key says      YES; system says  UNKNOWN
W  735 Answer key says      YES; system says  UNKNOWN
W  736 Answer key says      YES; system says  UNKNOWN
W  737 Answer key says  UNKNOWN; system says      YES
R  738 Answer key says  UNKNOWN; system says  UNKNOWN
R  739 Answer key says      YES; system says      YES
R  740 Answer key says  UNKNOWN; system says  UNKNOWN
R  741 Answer key says  UNKNOWN; system says  UNKNOWN
R  742 Answer key says  UNKNOWN; system says  UNKNOWN
R  743 Answer key says  UNKNOWN; system says  UNKNOWN
R  744 Answer key says      YES; system says      YES
R  745 Answer key says      YES; system says      YES
R  746 Answer key says  UNKNOWN; system says  UNKNOWN
R  747 Answer key says  UNKNOWN; system says  UNKNOWN
W  748 Answer key says      YES; system says  UNKNOWN
R  749 Answer key says  UNKNOWN; system says  UNKNOWN
R  750 Answer key says      YES; system says      YES
R  751 Answer key says      YES; system says      YES
W  752 Answer key says  UNKNOWN; system says      YES
R  753 Answer key says      YES; system says      YES
W  754 Answer key says      YES; system says  UNKNOWN
R  755 Answer key says  UNKNOWN; system says  UNKNOWN
R  756 Answer key says      YES; system says      YES
R  757 Answer key says      YES; system says      YES
W  758 Answer key says      YES; system says  UNKNOWN
W  759 Answer key says  UNKNOWN; system says      YES
R  760 Answer key says  UNKNOWN; system says  UNKNOWN
W  761 Answer key says      YES; system says  UNKNOWN
W  762 Answer key says  UNKNOWN; system says      YES
R  763 Answer key says      YES; system says      YES
W  764 Answer key says      YES; system says  UNKNOWN
W  765 Answer key says       NO; system says  UNKNOWN
W  766 Answer key says      YES; system says       NO
W  767 Answer key says  UNKNOWN; system says      YES
R  768 Answer key says      YES; system says      YES
W  769 Answer key says       NO; system says      YES
W  770 Answer key says       NO; system says      YES
R  771 Answer key says      YES; system says      YES
R  772 Answer key says  UNKNOWN; system says  UNKNOWN
W  773 Answer key says      YES; system says       NO
W  774 Answer key says      YES; system says       NO
W  775 Answer key says  UNKNOWN; system says      YES
R  776 Answer key says  UNKNOWN; system says  UNKNOWN
W  777 Answer key says      YES; system says  UNKNOWN
W  778 Answer key says      YES; system says  UNKNOWN
W  779 Answer key says      YES; system says  UNKNOWN
W  780 Answer key says       NO; system says  UNKNOWN
W  781 Answer key says  UNKNOWN; system says      YES
R  782 Answer key says      YES; system says      YES
R  783 Answer key says  UNKNOWN; system says  UNKNOWN
W  784 Answer key says      YES; system says  UNKNOWN
W  785 Answer key says  UNKNOWN; system says      YES
W  786 Answer key says      YES; system says  UNKNOWN
W  787 Answer key says      YES; system says  UNKNOWN
R  788 Answer key says  UNKNOWN; system says  UNKNOWN
W  789 Answer key says  UNKNOWN; system says      YES
R  790 Answer key says      YES; system says      YES
R  791 Answer key says      YES; system says      YES
W  792 Answer key says  UNKNOWN; system says      YES
R  793 Answer key says  UNKNOWN; system says  UNKNOWN
R  794 Answer key says       NO; system says       NO
R  795 Answer key says      YES; system says      YES
W  796 Answer key says      YES; system says       NO
W  797 Answer key says       NO; system says      YES
R  798 Answer key says  UNKNOWN; system says  UNKNOWN
R  799 Answer key says  UNKNOWN; system says  UNKNOWN
W  800 Answer key says  UNKNOWN; system says      YES


Contingency table of responses
	  Y    U    N	<-----System says
Y	 148  230   32
U	  93  210   15
N	  29   38    5
|
+---------- Key says


Accuracy: 0.454
F(b=1/3): 0.423	 (F computed over YES and NO responses only)
	precision: 0.475
	recall:    0.317
